Model;Release date;Max resolution;;Effective pixels;;;;;Storage included;Weight (inc. batteries);Dimensions;Price
Agfa ePhoto 1280;1997;1024.0;;0.0;;;;;4.0;420.0;95.0;179.0
Agfa ePhoto 1680;1998;1280.0;;1.0;;;;;4.0;420.0;158.0;179.0
Agfa ePhoto CL18;2000;640.0;;0.0;;;;;2.0;0.0;0.0;179.0
Agfa ePhoto CL30;1999;1152.0;;0.0;;;;;4.0;0.0;0.0;269.0
Agfa ePhoto CL30 Clik!;1999;1152.0;;0.0;;;;;40.0;300.0;128.0;1299.0
Agfa ePhoto CL45;2001;1600.0;;1.0;;;;;8.0;270.0;119.0;179.0
Agfa ePhoto CL50;1999;1280.0;;1.0;;;;;8.0;0.0;0.0;179.0
Canon PowerShot 350;1997;640.0;;0.0;;;;;2.0;320.0;93.0;149.0
Canon PowerShot 600;1996;832.0;;0.0;;;;;1.0;460.0;160.0;139.0
Canon PowerShot A10;2001;1280.0;;1.0;;;;;8.0;375.0;110.0;139.0
Canon PowerShot A100;2002;1280.0;;1.0;;;;;8.0;225.0;110.0;139.0
Canon PowerShot A20;2001;1600.0;;1.0;;;;;8.0;375.0;110.0;139.0
Canon PowerShot A200;2002;1600.0;;1.0;;;;;8.0;225.0;110.0;139.0
Canon PowerShot A30;2002;1280.0;;1.0;;;;;8.0;350.0;110.0;139.0
Canon PowerShot A300;2003;2048.0;;3.0;;;;;32.0;225.0;111.0;139.0
Canon PowerShot A310;2004;2048.0;;3.0;;;;;0.0;205.0;110.0;139.0
Canon PowerShot A40;2002;1600.0;;1.0;;;;;8.0;350.0;110.0;139.0
Canon PowerShot A400;2004;2048.0;;3.0;;;;;16.0;255.0;107.0;139.0
